Date,Positive Posts,Negative Posts,Neutral Posts
2009-05-27,1,0,1
2010-05-22,1,0,0
2010-07-14,1,0,0
2011-01-02,1,0,0
2011-03-12,1,0,0
2011-06-25,1,0,0
2011-07-02,1,0,0
2011-07-09,5,0,0
2011-07-11,2,0,0
2011-07-13,1,0,0
2011-08-19,1,0,0
2011-08-23,1,0,1
2011-08-26,2,0,0
2011-08-31,2,0,0
2011-09-05,2,0,0
2011-09-10,2,0,0
2011-09-22,1,0,0
2011-09-25,1,0,0
2011-10-22,1,0,0
2011-10-24,2,0,1
2011-10-30,2,0,0
2011-11-01,3,0,0
2011-11-06,1,0,1
2011-11-20,2,0,0
2011-12-02,1,0,0
2011-12-03,2,0,0
2011-12-09,1,0,0
2012-01-01,1,0,0
2012-01-03,1,0,0
2012-02-26,1,0,0
2012-06-29,1,0,0
2012-07-01,1,0,0
2012-07-09,1,0,0
2012-08-04,1,0,0
2012-09-01,1,0,0
2012-09-03,1,0,0
2012-09-15,1,0,0
2013-03-22,1,0,22
2013-03-23,1,0,18
2013-05-15,1,0,40
2013-06-06,1,0,0
2013-06-12,1,0,0
2013-08-23,1,0,1
2013-08-27,1,0,0
2013-09-06,2,0,0
2013-09-13,1,0,0
2013-10-04,1,0,0
2014-03-25,1,0,0
2014-08-27,1,0,3
2015-04-09,1,1,1
2015-05-02,1,0,1
2015-06-16,1,0,0
2015-07-10,1,0,0
2015-10-06,1,0,0
2015-10-10,4,0,0
2015-10-11,1,0,0
2015-10-20,1,1,1
2015-10-24,1,0,0
2015-10-25,1,0,0
2015-10-30,1,0,0
2015-11-01,1,0,0
2015-11-08,1,0,3
2015-11-10,1,0,0
2015-11-12,1,0,1
2015-11-14,1,0,0
2015-11-15,2,0,0
2015-11-17,1,0,0
2015-11-20,1,0,4
2015-11-24,1,0,1
2015-11-27,1,1,0
2015-11-30,3,0,8
2015-12-02,1,0,1
2015-12-16,1,0,0
2016-01-25,2,0,1
2016-02-03,1,0,0
2016-02-19,1,0,1
2016-02-26,1,0,1
2016-03-01,1,0,1
2016-03-04,1,0,3
2016-03-06,1,0,0
2016-03-07,1,0,1
2016-03-16,1,0,0
2016-03-20,1,0,0
2016-03-21,1,0,1
2016-03-24,1,0,0
2016-04-11,1,0,1
2016-04-15,1,0,4
2016-05-11,1,0,1
2016-05-24,1,0,2
2016-05-30,1,0,1
2016-06-14,1,0,1
2016-06-15,1,0,1
2016-06-21,1,0,0
2016-06-22,1,0,2
2016-06-23,1,0,1
2016-06-24,2,0,2
2016-06-27,1,0,1
2016-06-30,1,0,0
2016-08-16,1,0,1
2016-08-19,1,0,0
2016-09-13,1,0,0
2016-10-03,1,0,0
2016-10-05,1,0,0
2016-10-08,1,0,1
2016-10-15,1,0,0
2016-10-17,1,0,0
2016-10-18,1,0,0
2016-10-22,1,0,0
2016-10-25,1,0,0
2016-10-27,1,0,0
2016-10-28,1,0,0
2016-10-29,1,0,0
2016-10-30,1,0,0
2016-11-03,1,0,0
2016-11-05,1,0,0
2016-11-08,1,1,0
2016-11-09,2,0,1
2016-11-15,1,0,0
2016-11-17,2,1,0
2016-11-20,1,0,1
2016-11-23,1,0,0
2016-11-26,1,0,0
2016-11-28,1,0,0
2016-11-30,1,0,0
2016-12-01,1,0,0
2016-12-04,2,0,0
2016-12-09,2,0,0
2016-12-10,1,1,1
2016-12-11,1,1,0
2016-12-15,2,3,0
2016-12-16,1,0,2
2017-01-15,1,1,0
2017-01-17,1,0,1
2017-01-22,2,0,0
2017-01-23,1,1,0
2017-01-30,1,0,1
2017-01-31,1,0,0
2017-02-04,1,0,0
2017-02-19,1,0,0
2017-02-20,1,0,1
2017-02-23,1,0,0
2017-03-06,2,0,0
2017-03-07,1,0,0
2017-03-10,3,0,0
2017-03-11,2,0,1
2017-03-14,1,1,0
2017-03-26,2,0,1
2017-03-31,1,0,0
2017-04-02,1,0,0
2017-04-14,1,0,0
2017-04-22,1,0,0
2017-04-25,1,0,0
2017-04-28,1,0,0
2017-05-02,1,0,0
2017-05-07,1,0,1
2017-05-08,2,0,1
2017-05-16,1,1,1
2017-05-17,1,0,0
2017-05-30,1,1,0
2017-05-31,1,1,0
2017-06-04,1,0,0
2017-06-06,1,0,0
2017-06-07,1,0,0
2017-06-09,3,0,3
2017-06-11,1,0,2
2017-06-13,1,0,2
2017-06-16,1,1,0
2017-06-24,1,0,0
2017-07-11,1,0,1
2017-07-25,2,2,6
2017-07-28,1,0,0
2017-08-18,1,0,0
2017-08-22,1,0,0
2017-08-30,1,0,0
2017-08-31,1,0,0
2017-09-02,1,0,0
2017-09-06,1,0,0
2017-09-11,1,0,0
2017-09-18,1,0,0
2017-09-23,2,0,0
2017-09-25,1,0,0
2017-09-30,1,0,0
2017-10-01,2,0,0
2017-10-02,1,0,0
2017-10-03,1,0,0
2017-10-11,1,0,0
2017-10-17,2,0,0
2017-10-19,1,0,0
2017-11-03,1,0,0
2017-11-04,2,1,1
2017-11-06,1,0,0
2017-11-11,1,0,0
2017-11-12,1,0,0
2017-11-13,1,0,0
2017-11-20,1,0,0
2017-11-21,1,0,0
2017-11-28,1,3,1
2017-11-30,1,0,0
2017-12-01,1,0,0
2017-12-08,1,0,0
2017-12-15,1,0,0
2018-01-04,1,0,0
2018-01-17,1,0,0
2018-01-18,1,0,1
2018-01-27,1,0,0
2018-02-03,1,0,0
2018-02-04,2,0,0
2018-02-06,1,0,1
2018-02-07,1,0,0
2018-02-15,1,0,0
2018-02-18,1,0,0
2018-02-20,1,0,0
2018-02-25,1,0,2
2018-03-04,1,0,0
2018-03-08,1,0,0
2018-03-09,1,0,1
2018-03-11,1,0,0
2018-03-14,1,0,0
2018-03-15,1,0,0
2018-03-19,2,1,0
2018-03-23,1,0,0
2018-03-27,2,0,0
2018-04-04,2,0,0
2018-04-09,1,0,0
2018-04-16,1,0,0
2018-04-24,2,0,0
2018-04-25,1,0,1
2018-05-04,1,0,0
2018-06-22,1,0,0
2018-07-02,1,0,0
2018-07-04,1,0,0
2018-07-14,1,0,1
2018-07-15,1,0,0
2018-07-21,2,0,0
2018-07-22,1,0,0
2018-08-12,1,1,0
2018-08-28,1,0,0
2018-08-29,1,0,0
2018-08-30,1,0,0
2018-08-31,1,0,1
2018-09-01,1,1,0
2018-09-06,1,0,0
2018-09-09,1,0,0
2018-09-18,1,0,0
2018-09-23,1,0,0
2018-09-25,1,0,1
2018-10-04,1,0,0
2018-10-06,1,0,1
2018-11-03,1,0,0
2018-11-11,1,0,0
2018-12-09,1,0,0
2018-12-17,1,0,0
2018-12-23,1,0,0
2019-01-05,2,0,0
2019-01-25,1,0,1
2019-01-30,1,0,0
2019-02-08,1,0,0
2019-03-21,1,0,0
2019-03-27,2,0,0
2019-04-30,1,0,0
2019-05-05,1,0,0
2019-05-13,1,0,0
2019-06-04,1,0,0
2019-06-20,1,0,0
2019-07-10,1,0,0
2019-07-18,1,0,0
2019-07-20,1,0,0
2019-07-21,1,0,0
2019-07-22,1,0,0
2019-07-25,1,0,1
2019-07-26,1,0,0
2019-08-16,2,0,0
2019-08-24,1,0,0
2019-09-03,1,0,0
2019-09-09,1,0,0
2019-09-13,2,0,0
2019-10-07,1,0,0
2019-11-10,2,0,0
2019-11-20,1,0,0
2019-12-03,1,0,0
2019-12-06,1,0,1
2019-12-11,1,1,1
2019-12-12,1,1,1
2020-01-21,1,0,0
2020-02-16,1,0,0
2020-03-18,1,0,0
2009-11-11,0,1,0
2011-01-22,0,1,0
2011-04-21,0,1,0
2012-07-22,0,1,1
2012-09-22,0,1,2
2013-01-02,0,1,0
2013-02-09,0,1,4
2013-04-11,0,1,9
2013-04-12,0,1,15
2013-04-21,0,1,27
2013-05-28,0,1,1
2013-08-07,0,1,0
2013-09-14,0,1,0
2014-11-09,0,1,2
2015-10-16,0,1,0
2015-10-23,0,1,0
2015-11-29,0,1,0
2015-12-05,0,2,0
2016-02-18,0,1,2
2016-05-10,0,1,3
2016-05-13,0,1,1
2016-06-07,0,1,0
2016-09-20,0,1,0
2016-11-01,0,1,0
2016-11-13,0,1,0
2016-11-18,0,1,0
2016-11-24,0,1,0
2016-11-25,0,1,0
2016-12-02,0,1,0
2016-12-17,0,1,0
2017-01-13,0,1,1
2017-01-14,0,2,0
2017-02-17,0,2,0
2017-04-20,0,1,0
2017-05-06,0,1,0
2017-05-21,0,1,0
2017-05-22,0,1,0
